"","Gene","Product","logFC"
"58","SARO_RS19680","acyl-CoA dehydrogenase",1.45937328885716
"59","SARO_RS04535","DUF3089 domain-containing protein",1.44871919088022
"60","SARO_RS07945","alpha/beta hydrolase",1.44736460526335
"61","SARO_RS04515","DUF2794 domain-containing protein",1.42724738058432
"62","SARO_RS20530","hypothetical protein",1.37593043568992
"63","SARO_RS19660","acyl-CoA dehydrogenase",1.36895146979325
"64","SARO_RS01960","hypothetical protein",1.36265824729091
"65","SARO_RS03300","hypothetical protein",1.36191132602358
"66","SARO_RS13090","hypothetical protein",1.36143111760643
"67","SARO_RS02400","N-acetyltransferase",1.35444432933247
"68","SARO_RS00930","protein-L-isoaspartate O-methyltransferase",1.35338356520456
"69","SARO_RS18810","cation transporter",1.29891956074419
"70","SARO_RS13070","methylmalonyl-CoA carboxyltransferase",1.29320474954443
"71","SARO_RS02520","RNB domain-containing ribonuclease",1.28461844781248
"72","SARO_RS08950","MAPEG family protein",1.28356530192571
"73","SARO_RS01240","glutamate-1-semialdehyde 2%2C1-aminomutase",1.27467827623854
"74","SARO_RS08955","MAPEG family protein",1.26904975834276
"75","SARO_RS16675","HPP family protein",1.26403685443133
"76","SARO_RS08235","acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha",1.263197930212
"77","SARO_RS20090","ParB-like nuclease",1.26033898739583
"78","SARO_RS00295","nicotinate-nucleotide adenylyltransferase",1.24270431876148
"79","SARO_RS11380","acetolactate synthase small subunit",1.22730835808928
"80","SARO_RS14205","KR domain-containing protein",1.21164022031338
"81","SARO_RS10175","anthranilate phosphoribosyltransferase",1.19410805381793
"82","SARO_RS10120","carbon-nitrogen hydrolase family protein",1.19275284942158
"83","SARO_RS19570","MFS transporter",1.18034985959439
"84","SARO_RS10160","hypothetical protein",1.15022308387299
"85","SARO_RS11815","amidohydrolase",1.14977243636729
"86","SARO_RS19675","KR domain-containing protein",1.14311808343823
"87","SARO_RS06445","N-formylglutamate amidohydrolase",1.09929721815889
"88","SARO_RS03325","hypothetical protein",1.09541017822888
"89","SARO_RS20400","Lrp/AsnC family transcriptional regulator",1.07013949680308
"90","SARO_RS08905","lytic murein transglycosylase",1.06778823240452
"91","SARO_RS13560","branched-chain amino acid aminotransferase",1.0619644076218
"92","SARO_RS14415","ABC transporter",1.04455883482977
"93","SARO_RS19690","short chain dehydrogenase",1.03482209949624
"94","SARO_RS03570","alpha/beta hydrolase",1.02871627949043
"95","SARO_RS03565","glyoxalase",1.02178255393535
"96","SARO_RS08420","ribosomal subunit interface protein",1.0196619110675
"97","SARO_RS11190","hypothetical protein",0.992007822498476
"98","SARO_RS16055","acyl-CoA synthetase",0.987597660878457
"99","SARO_RS19465","3-ketoacyl-ACP reductase",0.931292430526504
"100","SARO_RS11610","acetyl-CoA C-acyltransferase",0.924834804839924
"101","SARO_RS08340","hybrid sensor histidine kinase/response regulator",0.923671360614839
"102","SARO_RS03495","cell division protein",0.910647528147696
"103","SARO_RS09065","KR domain-containing protein",0.844621679549448
"104","SARO_RS10490","penicillin-binding protein activator",0.842856371224652
"105","SARO_RS00305","M23 family peptidase",0.835800147250151
"106","SARO_RS10525","aldehyde-activating protein",0.830652609701204
"107","SARO_RS19860","SARP family transcriptional regulator",0.765602683864729
"108","SARO_RS09060","glutathione-disulfide reductase",0.754014280922185
"109","SARO_RS03410","DUF179 domain-containing protein",0.743323864184949
"110","SARO_RS08645","glycoside hydrolase",0.735378812873455
"111","SARO_RS10165","anthranilate synthase component I",0.704743893318864
"112","SARO_RS19770","LuxR family transcriptional regulator",0.691513478045529
"113","SARO_RS02515","enoyl-CoA hydratase",0.683459321022698
"114","SARO_RS19745","dioxygenase",0.661313204866914
